team,GP,Pass,att,yds,avg,ydsPerG,TD,int,qbr,lng,sck,ydsSack,firstD,firstDpass,Win15,Loss15,Tie15,Win,Loss,rushAtt,rushYds,rushYdsPerAtt,RushYdsPerG,rushTD,kpts,fgm,fga,fgPct,long,zeroThru19,twntyThru29,thrtyThru39,fourtyThru49,50+,xpm,xpa,pa,paPerG,tckl,solo,ast,sack,yds,int,DefTD,ff,Def,DefTD,pdef,stuff,sfty,Kreturn,KretYds,KretAvg,KretTD,KretLong,KfairCatch,PuntRet,PuntRetYds,PuntRetAvg,PuntRretTD,PuntLong,puntFairCatch,to,takeInt,takeRec,giveRec,GiveInt,pa,paPerG,tckl,tcklSolo,tcklAsst,sacks,IntYes,intTD,intTD,ForceFum,FumbRec,FumbRecTD,passDef,stuff,sfty,1ST,1ST_run,1ST_pass,3RD_made,3RD_att,_3rdDown_PCT,_4THdownMade,4THdownAtt,_4thDown_PCT,pen,penYds
ARZ,15,328,511,3155,6.2,210.3,18,10,87,88,49,317,163,0.32,5,9,1,5.5,10.5,379,1919,25.3,127.9,17,121,30,34,88.00%,54,0,12,11,5,2,31,32,387,25.8,942,664,278,39,267,7,0,19,10,0,49,0,0,33,696,21.1,0,39,0,24,168,7,0,29,17,4,7,10,10,3,387,25.8,942,664,278,39,267,7,0,19,10,0,49,0,0,292,104,163,66,187,0.35,13,20,0.65,113,893
ATL,15,429,633,4428,7,295.2,28,15,94,93,44,308,238,0.38,6,9,0,7,9,332,1274,22.1,84.9,10,109,27,35,77.00%,52,0,6,10,8,3,28,30,357,23.8,914,552,362,27,211,10,0,14,7,1,51,0,0,24,554,23.1,0,47,0,35,260,7.4,1,78,1,-7,10,7,15,9,357,23.8,914,552,362,27,211,10,0,14,7,1,51,0,0,355,78,238,80,189,0.42,12,18,0.67,114,903
BAL,15,278,419,3144,7.5,209.6,37,7,112,83,25,110,168,0.4,13,2,0,14,2,552,3073,36.8,204.9,20,127,24,25,96.00%,51,0,7,9,7,1,55,57,260,17.3,747,526,221,35,250,13,2,13,10,3,71,0,0,25,443,17.7,0,46,0,23,204,8.9,0,25,17,10,13,10,7,6,260,17.3,747,526,221,35,250,13,2,13,10,3,71,0,0,367,173,168,81,171,0.47,16,22,0.73,103,832
BUF,15,278,473,2993,6.3,199.5,21,10,85,53,39,246,152,0.32,10,5,0,10,6,445,1981,29.7,132.1,13,90,20,26,77.00%,51,0,3,7,9,1,30,32,224,14.9,874,598,276,42,284,13,0,16,9,0,79,0,1,29,737,25.4,1,66,0,31,239,7.7,0,22,20,6,13,9,10,6,224,14.9,874,598,276,42,284,13,0,16,9,0,79,0,1,297,114,152,72,198,0.36,8,18,0.44,112,887
CAR,15,356,584,3362,5.8,224.1,17,19,76,52,56,473,217,0.37,5,10,0,5,11,368,1778,24.5,118.5,19,102,24,31,77.00%,55,0,3,5,8,8,30,34,424,28.3,867,587,280,52,298,14,0,8,7,1,61,0,2,30,652,21.7,0,36,0,23,167,7.3,0,39,15,-11,14,7,19,13,424,28.3,867,587,280,52,298,14,0,8,7,1,61,0,2,319,80,217,61,191,0.32,11,22,0.5,82,700
CHI,15,345,543,3112,5.7,207.5,20,12,83,53,41,254,165,0.3,7,8,0,8,8,361,1300,24.1,86.7,7,83,19,24,79.00%,53,1,6,7,3,2,26,28,275,18.3,832,633,199,32,242,8,1,12,8,0,63,0,0,32,859,26.8,1,102,0,33,302,9.2,0,71,19,-2,8,8,12,6,275,18.3,832,633,199,32,242,8,1,12,8,0,63,0,0,273,75,165,70,200,0.35,6,19,0.32,100,804
CIN,15,340,588,3470,5.9,231.3,17,15,76,66,47,334,179,0.3,1,14,0,2,14,346,1338,23.1,89.2,6,96,25,29,86.00%,57,0,10,6,8,1,21,21,363,24.2,922,583,339,25,164,8,0,8,5,0,53,0,1,39,1029,26.4,1,92,0,27,163,6,0,17,17,-16,8,5,15,14,363,24.2,922,583,339,25,164,8,0,8,5,0,53,0,1,290,76,179,71,208,0.34,13,26,0.5,90,741
CLE,15,306,512,3315,6.5,221,19,18,78,89,35,253,169,0.33,6,9,0,6,10,373,1827,24.9,121.8,15,100,24,28,86.00%,53,0,6,9,8,1,28,32,342,22.8,824,597,227,37,262,13,1,12,6,0,58,0,0,35,735,21,0,74,0,22,154,7,0,18,14,-6,13,6,18,7,342,22.8,824,597,227,37,262,13,1,12,6,0,58,0,0,290,87,169,67,183,0.37,6,16,0.38,118,1073
DAL,15,365,564,4457,7.9,297.1,26,11,97,62,20,142,216,0.38,7,8,0,8,8,413,1930,27.5,128.7,17,119,26,36,72.00%,63,0,9,7,5,5,41,41,301,20.1,879,580,299,37,280,6,0,13,9,1,64,0,0,18,268,14.9,0,28,0,20,125,6.3,0,15,20,-2,6,9,11,6,301,20.1,879,580,299,37,280,6,0,13,9,1,64,0,0,357,111,216,88,189,0.47,6,15,0.4,99,927
DEN,15,295,476,2947,6.2,196.5,15,10,83,75,39,277,152,0.32,6,9,0,7,9,382,1592,25.5,106.1,11,102,26,30,87.00%,53,0,6,8,9,3,24,25,293,19.5,899,588,311,38,202,10,0,8,5,1,64,0,0,18,506,28.1,0,60,0,26,204,7.8,0,42,27,0,10,5,10,5,293,19.5,899,588,311,38,202,10,0,8,5,1,64,0,0,263,75,152,61,190,0.32,11,16,0.69,101,851
DET,15,331,541,3766,7,251.1,27,14,90,75,42,280,191,0.35,3,11,1,3.5,12.5,382,1478,25.5,98.5,6,105,24,29,83.00%,55,0,11,2,5,6,33,34,384,25.6,878,630,248,27,177,6,0,15,11,1,67,0,0,23,564,24.5,1,100,0,30,235,7.8,1,64,21,-5,6,11,14,8,384,25.6,878,630,248,27,177,6,0,15,11,1,67,0,0,296,73,191,87,208,0.42,4,12,0.33,109,887
GB,15,329,518,3421,6.6,228.1,24,3,97,74,35,273,172,0.33,12,3,0,13,3,381,1675,25.4,111.7,18,95,19,20,95.00%,54,1,2,9,6,1,38,39,293,19.5,857,582,275,40,288,16,0,12,7,0,69,0,0,28,578,20.6,0,45,0,18,81,4.5,0,18,28,11,16,7,3,9,293,19.5,857,582,275,40,288,16,0,12,7,0,69,0,0,295,84,172,65,183,0.36,5,12,0.42,91,677
HOU,15,334,498,3591,7.2,239.4,27,13,97,54,45,267,192,0.39,10,5,0,10,6,409,1900,27.3,126.7,15,98,20,25,80.00%,54,0,5,8,4,3,38,43,340,22.7,861,598,263,31,215,12,2,14,10,0,73,0,0,14,308,22,0,31,0,20,189,9.5,0,23,16,1,12,10,13,8,340,22.7,861,598,263,31,215,12,2,14,10,0,73,0,0,326,103,192,81,181,0.45,11,21,0.52,106,857
IND,15,295,488,2965,6.1,197.7,22,10,85,50,29,187,158,0.32,7,8,0,7,9,444,1998,29.6,133.2,15,91,20,29,69.00%,55,1,6,7,3,3,31,37,317,21.1,895,641,254,38,240,14,1,13,8,0,48,0,2,27,593,22,0,47,0,22,398,18.1,2,84,21,3,14,8,10,9,317,21.1,895,641,254,38,240,14,1,13,8,0,48,0,2,323,122,158,82,195,0.42,14,23,0.61,75,634
JAX,15,337,550,3474,6.3,231.6,21,7,88,70,39,254,168,0.31,5,10,0,6,10,365,1641,24.3,109.4,3,106,30,31,97.00%,53,0,11,9,8,2,16,17,359,23.9,843,579,264,44,291,10,1,11,7,0,55,0,0,23,518,22.5,0,35,0,30,149,5,0,43,16,-2,10,7,7,12,359,23.9,843,579,264,44,291,10,1,11,7,0,55,0,0,275,78,168,67,206,0.33,12,25,0.48,129,1138
KC,15,362,551,4324,7.8,288.3,29,4,105,83,25,192,206,0.37,11,4,0,12,4,352,1407,23.5,93.8,14,140,33,37,89.00%,56,0,9,9,12,3,41,44,275,18.3,863,587,276,42,315,14,1,13,7,2,60,0,0,35,810,23.1,0,34,1,29,201,6.9,0,36,7,7,14,7,4,10,275,18.3,863,587,276,42,315,14,1,13,7,2,60,0,0,334,84,206,82,177,0.46,6,10,0.6,102,990
LAC,15,363,551,4168,7.6,277.9,22,18,89,84,31,199,206,0.37,5,10,0,5,11,341,1345,22.7,89.7,11,110,26,34,76.00%,51,0,7,6,11,2,32,32,292,19.5,861,591,270,30,190,10,0,6,3,0,41,0,0,30,627,20.9,0,43,0,22,118,5.4,1,68,17,-15,10,3,18,11,292,19.5,861,591,270,30,190,10,0,6,3,0,41,0,0,324,82,206,78,179,0.44,8,14,0.57,95,832
LAR,15,368,587,4188,7.1,279.2,19,17,83,66,21,162,205,0.35,8,7,0,9,7,368,1386,24.5,92.4,19,107,23,31,74.00%,58,0,7,7,4,5,38,38,316,21.1,957,611,346,49,300,11,2,14,8,2,68,0,1,17,374,22,0,30,0,25,152,6.1,0,35,25,-5,11,8,17,7,316,21.1,957,611,346,49,300,11,2,14,8,2,68,0,1,317,88,205,72,190,0.38,3,12,0.25,108,808
MIA,15,342,571,3478,6.1,231.9,21,18,78,51,56,299,191,0.34,4,11,0,5,11,327,1093,21.8,72.9,9,89,21,28,75.00%,54,0,6,7,5,3,26,27,446,29.7,945,566,379,22,151,12,0,8,2,0,62,0,1,35,778,22.2,1,101,0,25,170,6.8,0,21,13,-12,12,2,18,8,446,29.7,945,566,379,22,151,12,0,8,2,0,62,0,1,289,59,191,66,195,0.34,13,27,0.48,88,734
MIN,15,307,445,3397,7.6,226.5,26,6,107,66,28,206,165,0.37,10,5,0,10,6,450,1959,30,130.6,18,108,23,25,92.00%,50,0,10,5,5,3,39,43,280,18.7,882,631,251,44,334,17,1,17,13,1,81,0,1,16,352,22,0,38,0,27,183,6.8,0,23,18,13,17,13,6,11,280,18.7,882,631,251,44,334,17,1,17,13,1,81,0,1,300,99,165,79,185,0.43,8,15,0.53,93,855
NE,15,362,591,3744,6.3,249.6,23,8,88,59,27,188,189,0.32,12,3,0,12,4,420,1568,28,104.5,16,114,26,33,79.00%,51,1,11,8,5,1,36,42,174,11.6,797,552,245,45,314,25,3,15,11,2,86,0,1,25,537,21.5,0,34,0,28,226,8.1,0,22,24,23,25,11,8,5,174,11.6,797,552,245,45,314,25,3,15,11,2,86,0,1,320,102,189,84,218,0.39,6,15,0.4,88,774
NO,15,398,550,3980,7.2,265.3,33,6,109,61,24,184,214,0.39,12,3,0,13,3,370,1623,24.7,108.2,10,138,32,36,89.00%,58,1,9,6,13,3,42,43,329,21.9,795,580,215,49,322,11,1,11,9,1,68,0,1,28,676,24.1,0,51,1,38,349,9.2,1,53,11,12,11,9,6,2,329,21.9,795,580,215,49,322,11,1,11,9,1,68,0,1,322,91,214,77,181,0.43,5,13,0.39,117,992
NYG,15,348,560,3456,6.2,230.4,29,16,87,75,39,313,174,0.31,4,11,0,4,12,341,1563,22.7,104.2,10,66,11,16,69.00%,45,0,6,4,1,0,33,37,385,25.7,954,616,338,35,236,10,1,9,6,1,59,0,1,44,1038,23.6,0,52,1,24,252,10.5,0,60,13,-15,10,6,16,15,385,25.7,954,616,338,35,236,10,1,9,6,1,59,0,1,292,85,174,74,196,0.38,12,27,0.44,86,736
NYJ,15,300,485,2926,6,195.1,18,15,81,92,50,318,152,0.31,6,9,0,7,9,356,1171,23.7,78.1,6,73,17,24,71.00%,54,0,2,6,6,3,22,26,329,21.9,858,582,276,34,221,10,3,9,8,2,60,0,2,36,791,22,0,78,0,20,231,11.6,0,26,28,-6,10,8,15,9,329,21.9,858,582,276,34,221,10,3,9,8,2,60,0,2,235,54,152,60,198,0.3,7,19,0.37,113,1092
OAK,15,338,477,3546,7.4,236.4,21,8,101,65,27,173,181,0.38,6,9,0,7,9,415,1796,27.7,119.7,13,82,16,22,73.00%,48,0,6,4,6,0,34,36,383,25.5,800,592,208,30,239,9,2,6,5,0,64,0,0,34,799,23.5,0,72,0,25,185,7.4,0,32,20,-1,9,5,8,8,383,25.5,800,592,208,30,239,9,2,6,5,0,64,0,0,297,101,181,83,185,0.45,10,16,0.63,118,1031
PHL,15,368,573,3554,6.2,236.9,26,8,92,53,36,220,201,0.35,8,7,0,9,7,423,1818,28.2,121.2,13,91,20,24,83.00%,53,0,7,7,5,1,31,33,333,22.2,749,523,226,39,245,10,1,13,8,2,71,0,0,28,649,23.2,0,67,0,25,157,6.3,0,17,20,-5,10,8,8,15,333,22.2,749,523,226,39,245,10,1,13,8,2,71,0,0,329,95,201,100,214,0.47,7,22,0.32,93,781
PIT,15,306,485,2904,6,193.6,18,19,77,79,30,215,142,0.29,8,7,0,8,8,372,1356,24.8,90.4,6,111,28,30,93.00%,51,1,10,7,9,1,27,27,265,17.7,929,631,298,51,327,19,1,21,17,2,78,0,0,26,493,19,0,34,0,27,261,9.7,1,85,19,8,19,17,19,9,265,17.7,929,631,298,51,327,19,1,21,17,2,78,0,0,255,71,142,62,183,0.34,2,14,0.14,105,846
SEA,15,316,477,3568,7.5,237.9,29,6,106,60,47,309,173,0.36,11,4,0,11,6,451,2075,30.1,138.3,14,106,23,28,82.00%,54,0,6,11,4,2,37,41,336,22.4,905,551,354,26,169,16,2,19,16,1,73,0,0,21,415,19.8,0,33,0,22,125,5.7,0,20,19,12,16,16,6,14,336,22.4,905,551,354,26,169,16,2,19,16,1,73,0,0,314,115,173,71,186,0.38,6,11,0.55,104,853
SF,15,313,456,3522,7.7,234.8,28,13,102,75,34,222,183,0.4,12,3,0,13,3,474,2177,31.6,145.1,20,131,28,37,76.00%,48,0,11,8,9,0,47,48,263,17.5,818,576,242,47,357,12,3,22,15,2,70,0,0,19,409,21.5,0,81,0,31,258,8.3,0,32,11,4,12,15,13,10,263,17.5,818,576,242,47,357,12,3,22,15,2,70,0,0,318,104,183,86,192,0.45,7,12,0.58,97,882
TB,15,369,606,4652,7.7,310.1,31,28,84,71,46,274,236,0.39,7,8,0,7,9,388,1385,25.9,92.3,15,122,27,32,84.00%,58,0,6,5,11,5,41,46,373,24.9,813,584,229,41,298,12,2,20,15,3,90,0,0,22,433,19.7,0,39,0,33,172,5.2,0,40,15,-11,12,15,28,10,373,24.9,813,584,229,41,298,12,2,20,15,3,90,0,0,339,76,236,89,209,0.43,8,16,0.5,121,1014
TEN,15,283,427,3360,7.9,224,27,8,107,91,56,374,166,0.39,8,7,0,9,7,406,1978,27.1,131.9,18,69,8,18,44.00%,53,0,0,2,4,2,45,47,313,20.9,944,615,329,39,243,13,1,11,9,2,68,0,1,28,589,21,0,45,0,20,160,8,0,21,27,5,13,9,8,9,313,20.9,944,615,329,39,243,13,1,11,9,2,68,0,1,292,91,166,65,175,0.37,4,14,0.29,94,895
WAS,15,280,442,2629,5.9,175.3,17,12,84,75,48,370,146,0.33,3,12,0,3,13,336,1495,22.4,99.7,9,86,22,27,81.00%,53,0,6,7,7,2,20,21,368,24.5,970,654,316,43,261,13,0,15,8,0,48,0,0,31,799,25.8,1,91,0,22,104,4.7,0,15,12,2,13,8,12,7,368,24.5,970,654,316,43,261,13,0,15,8,0,48,0,0,235,70,146,51,167,0.31,6,11,0.55,104,825
